SERIAL                 VERSION  MODEL
98895a3355424e484f     0.4.0    SM-G955U1
9889db374744474635     0.4.0    SM-G955F
ce021712b33054090c     0.4.0    SM-G955F
ce021712d2ae60880c     0.4.0    SM-G950F
ce021822e3f548f40b     0.4.0    SM-G955F
ce031713840038030c     0.4.0    SM-G950F
ce03171392f9390c01     0.4.0    SM-G955F
ce031713dd735a1103     0.4.0    SM-G950F
ce0417145199e0490c     0.4.0    SM-G955N
ce0517151215a00304     0.4.0    SM-G955F
ce0517152c898c6f0d     0.4.0    SM-G950F
ce0517155ab38c390d     0.4.0    SM-G950F
ce051715a0df1b3a02     0.4.0    SM-G955F
ce051715ac247a3f01     0.4.0    SM-G955F
ce051715cb22c30403     0.4.0    SM-G950F
ce0717171c2a64d50d     0.4.0    SM-G955F
ce11171be88ba30d01     0.4.0    SM-G950F
ce11171beb408a1501     0.4.0    SM-G950F
ce12171c4b37d62705     0.4.0    SM-G950F
